sentence	relation
Highly durable, the <e1>umbrella</e1> <e2>frame</e2> and thatch tiles have been designed to withstand harsh conditions including: strong winds, driving rain and snow.	3
It is a fairy <e1>story</e1> depicting the incredible <e2>ugliness</e2> of human sin, misery, and futility, yet also the incredible and beautiful power of love.	14
Another mathematical system <e1>description</e1> is presented in the next <e2>section</e2>.	15
Some comments from readers highlight the <e1>frustration</e1> and inconvenience caused by the 3-pin <e2>system</e2>.	1
<e1>Students</e1> learn at their own pace by using <e2>computers</e2>.	11
The <e1>speech</e1> was delivered from the <e2>steps</e2> of Lincoln Memorial on August 28, 1963 as part of his famous March on Washington.	18
They presented very extensive and detailed report on greenhouse <e1>heating</e1> with <e2>compost</e2>.	18
For example, a television <e1>anchor</e1> uses a <e2>microphone</e2> on their lapel.	11
Some <e1>content</e1> from the <e2>encyclopedia</e2> became a part of Microsoft's Encarta digital encyclopedia.	8
He was later recaptured through the combined efforts of a <e1>coven</e1> of white <e2>witches</e2> and a group of satanists.	13
Investigations had indicated the <e1>fire</e1> started from the <e2>airconditioners</e2> because on arrival that was the area engulfed.	18
The <e1>missile</e1> was placed inside a <e2>canister</e2> and loaded into a launch facility.	6
The <e1>book</e1> contains short <e2>tales</e2>, it is regarded as the first book of juvenile literature.	3
That's because nostalgia serves a useful defensive and reparative function; it took the <e1>sting</e1> from a <e2>painful episode</e2> in his life by shading the script.	18
A similar image search <e1>feature</e1> has been added to the <e2>software</e2>.	6
The <e1>students</e1> also came up with <e2>ideas</e2> for further development.	17
The <e1>exhibition</e1> brings together rare Chinese <e2>ceramics</e2> and paintings.	3
The rising popularity of malted whiskies, especially single malt <e1>barley</e1> <e2>spirits</e2>, is evidenced in the growing number of distilleries and labels that have been cropping up over the past few years.	9
Elsewhere, you'll find a real embarrassment of riches, with <e1>song</e1> after brilliant hit song from the fertile imaginations of the great Brill Building <e2>writers</e2>.	16
Scientists have put <e1>sensors</e1> into <e2>mobile phones</e2>.	6
It seems like the fever <e1>heat</e1> got pushed out from the <e2>body</e2> as rashes.	1
The strange <e1>query</e1> was coming from a 28-year-old African-American Starbucks <e2>manager</e2> named Crystal Thompson.	16
A <e1>textile</e1> <e2>mill</e2> is a factory for making textiles.	16
The <e1>editor</e1> improved the manuscript with his <e2>changes</e2>.	17
These and many other <e1>stories</e1> are used by the new <e2>scientists</e2> in order to support their theory.	10
There's a <e1>pitying</e1> of <e2>turtledoves</e2> cooing to their mate.	13
An oil <e1>spill</e1> caused by a <e2>collision</e2> between a ship and a barge closed the ship channel servicing the nation's second largest port.	1
Along with lots of padding, a <e1>treat</e1> wrapped inside a <e2>towel</e2> was put inside the seat of the stuntman's pants to entice the dog to bite the padded part.	4
Player one can become white and block all the bullets while <e1>player</e1> two blasts the boss with the opposite <e2>color</e2>.	11
The <e1>hairdresser</e1> took his <e2>scissors</e2> and held up a coil of hair.	11
Your <e1>cat</e1> uses these <e2>whiskers</e2> to judge the size of an opening.	3
The <e1>tea</e1> was in a <e2>cup</e2> and not as the menu suggested in a pot.	4
The <e1>siphon</e1> in a <e2>cistern</e2> consisted of a pipe bent over above the water level in the cistern.	2
Two extra-time goals sent the <e1>team</e1> into the Carling <e2>final</e2>.	18
The <e1>pain</e1> was radiating from the right <e2>buttock</e2> to the knee joint.	8
The Jackson County court case <e1>files</e1> from that <e2>date</e2> have been lost, and the entries in the Judgement Book are ambiguous.	8
One of them jumps from the boat to the bank and turns into a <e1>pile</e1> of <e2>ashes</e2>, as if he had been on the earth for hundreds of years.	13
He took the <e1>cameras</e1> to the <e2>concert</e2>.	6
These emotionally wrenching experiences encouraged the volunteers to seek the <e1>comradeship</e1> of fellow <e2>veterans</e2>.	18
The second day of the <e1>conference</e1> started with the fourth <e2>session</e2> on knowledge.	3
